mibig_accession,compounds,accession
BGC0002538,chaetolivacine A|chaetolivacine B|chaetolivacine C,MN432487.1
BGC0002539,chaetoglobosin P|chaetoglobosin K|chaetoglobosin A,MT459796.1
BGC0002540,tetramycin B,MN604040.1
BGC0002541,notonesomycin A,MN586816.1
BGC0002542,apratoxin A,MG890637.1
BGC0002543,acrophiarin,MN518690.1
BGC0002544,amychelin A|amychelin B,MT001874.1
BGC0002545,sungeidine C|sungeidine B|sungeidine D|sungeidine H|sungeidine A|sungeidine E|sungeidine F|sungeidine G,MN296090.1
BGC0002546,cytoglobosin X,MN367318.1
BGC0002547,youssoufene A1|youssoufene B1|youssoufene B2|youssoufene B3|youssoufene B4,MN844187.1
BGC0002548,bananamide F|bananamide D|bananamide G|bananamide E,MN480426.1
BGC0002549,salazinic acid,JAEUBB010000008.1
BGC0002550,lobophorin CR4,MN396889.1
BGC0002551,muscoride A|muscoride B,MK806444.1
BGC0002552,ansacarbamitocin,MK934297.1
BGC0002553,tunicamycin,MH813486.1
BGC0002554,carquinostatin A|carquinostatin B,LC406090.1
BGC0002555,emerimicin V|emerimicin VI|emerimicin VII|emerimicin VIII|emerimicin IX|emerimicin X,MT050462.1
BGC0002556,cervinomycin B3|cervinomycin C1|cervinomycin C2|cervinomycin C3|cervinomycin C4,MK410434.1
BGC0002557,penifulvin A,MK692947.1
BGC0002558,scopranone A|scopranone B|scopranone C,LC495479.1
BGC0002559,J1-001-2,MN071207.1
BGC0002560,thiostreptamide S4,LGKJ01000112.1
BGC0002561,phenazine SA|phenazine SB|phenazine SC,MH990330.1
BGC0002562,tetrahydroxynaphthalene|IBR-1|IBR-2|IBR-3|IBR-4,MK153302.1
BGC0002563,gramibactin B,CP024905.1
BGC0002564,megapolibactin Acyc|megapolibactin Bcyc|megapolibactin A|megapolibactin B|megapolibactin C|megapolibactin D|megapolibactin E|megapolibactin F,CP041745.1
BGC0002565,plantaribactin,CP002581.1
BGC0002566,"[S,S]-EDDS",CP008953.1
BGC0002567,EDHA,OLMK01000008.1
BGC0002568,EDHA,FN554889.1
BGC0002569,ornibactin C8|ornibactin C4|ornibactin C6,AM747720.1
BGC0002570,yersiniabactin,AE016853.1
BGC0002571,pyoverdine DC3000,NC_004578.1
BGC0002572,heinamide A1|heinamide A2|heinamide A3|heinamide B1|heinamide B2|heinamide B3|heinamide B4|heinamide B5,CP071065.1
BGC0002573,phosphoramidon,MK644118.1
BGC0002574,5-epi-jinkoheremol|debneyol,JQHZ01072270.1
BGC0002575,cochonodin I,FIHN01000001.1
BGC0002576,mechercharmycin,MT776333.1
BGC0002577,lactococcin G,FJ938036.1
BGC0002578,gaburedin A|gaburedin B|gaburedin C|gaburedin D|gaburedin E|gaburedin F,FR845719.1
BGC0002579,carnobacteriocin XY,L47121.1
BGC0002580,lactococcin MN,MN231270.1
BGC0002581,bosamycin A|bosamycin B|bosamycin C|bosamycin D|bosamycin E|bosamycin F,MN509472.2
BGC0002582,guanipiperazine A|guanipiperazine B,MW051641.1
BGC0002583,tryglysin B,AE014133.2
BGC0002584,azolemycin B|azolemycin A|azolemycin D|azolemycin C,KT336319.1
BGC0002585,ubericin K,MZ189362.1
BGC0002586,ASM1,KU896918.1
BGC0002587,ossamycin,MH763624.1
BGC0002588,enduracididine,MN161664.1
BGC0002589,argyrin F|argyrin E|argyrin H|argyrin B|argyrin G|argyrin D|argyrin A|argyrin C,MK047651.1
BGC0002590,colibromycin A|colibromycin B|colibromycin C,KZ819182.1
BGC0002591,aurachin C|aurachin D|aurachin SS,KY810820.1
BGC0002592,geodin,CH476605.1
BGC0002593,lecanoric acid|orsellinic acid,NKYQ01000004.1
BGC0002594,orcinol|orsellinic acid,CM000575.1
BGC0002595,orsellinic acid,JNBV01000031.1
BGC0002596,lecanoric acid|orsellinic acid,CAGA01000059.1
BGC0002597,nocuolactylates,MW071172.1
BGC0002598,ochratoxin A,MW526246.1
BGC0002599,fumigaclavine,MT424562.1
BGC0002600,helvolic acid,MT424561.1
BGC0002601,fumagillin,MT424563.1
BGC0002602,aspergillic acid,MH898736.1
BGC0002603,chevalone E,LC422695.1
BGC0002604,sartorypyrone A,LC428283.1
BGC0002605,ochratoxin A,MG701890.1
BGC0002606,ochratoxin A,MG701892.1
BGC0002607,ochratoxin A,MG701896.1
BGC0002608,ochratoxin A,MG701897.1
BGC0002609,ochratoxin A,KX267735.1
BGC0002610,stellatic acid,LC073704.1
BGC0002611,mulundocandin,KP742486.1
BGC0002612,anditomin,AB981314.1
BGC0002613,piscibactin,JAFHLB010000021.1
BGC0002614,subglutinol A|sesquicillin A|colletotrichin|metarhizin A,LC600199.1
BGC0002615,4-oxomacrophorin A|macrophorin A|5'-epimacrophorin B,MH388470.1
BGC0002616,mycophenolic acid,KU234531.1
BGC0002617,psychrophilin D|psychrophilin H|psychrophilin F|psychrophilin C|psychrophilin G|psychrophilin E|psychrophilin A|psychrophilin B|psychrophilin I,KU695586.1
BGC0002618,penitremane,KC963408.1
BGC0002619,mycophenolic acid,KM595305.1
BGC0002620,fulvivirgamide A2|fulvivirgamide B2|fulvivirgamide B3|fulvivirgamide B4,MN737574.1
BGC0002621,angustmycin A|angustmycin B|angustmycin C|aristeromycin|arabinofuranosyladenine,MZ151497.1
BGC0002622,hydroxycinnamoylputrescine,AP014965.1
BGC0002623,microginin,JADEXY010000051.1
BGC0002624,fischerazole A|fischerazole B|fischerazole C,NZ_KE650771.1
BGC0002625,desmamide A|desmamide B|desmamide C,JADEXS020000001.1
BGC0002626,microviridin 1688|microviridin 1739|microviridin 1748,JAGKSW010000123.1
BGC0002627,kamptornamide,CACA01000374.1
BGC0002628,aquimarin A|aquimarin B|aquimarin C|aquimarin D|aquimarin E|aquimarin F|aquimarin G|aquimarin H,CAKLCA010000002.1
BGC0002629,limnothamide,MKGP02000097.1
BGC0002630,thatisin,CP011129.1
BGC0002631,myxarylin,OL539738.1
BGC0002632,varlaxin 1046A|varlaxin 1022A,CP091913.1
BGC0002633,schizokinen,CP003946.1
BGC0002634,vicenistatin,OL310481.1
BGC0002635,daspyromycin A|daspyromycin B,MW686201.1
BGC0002636,streptophenazine 1|streptophenazine 2,OL619055.1
BGC0002637,rimomycin A|rimomycin B|rimomycin C,QHJP01000004.1
BGC0002638,misaugamycin A|misaugamycin B,QHKJ02000004.1
BGC0002639,phospho-tyrolose|tyrolose|tyrolitol|tyrocitabine-626|acyl-tyrocitabine-668|acyl-tyrocitabine-696|acyl-tyrocitabine-724|acyl-tyrocitabine-752,AEKI01000023.1
BGC0002640,thalassomonasin A|thalassomonasin B,JYNI01000001.1
BGC0002641,bacillothiazol A|bacillothiazol B|bacillothiazol C|bacillothiazol D|bacillothiazol E|bacillothiazol F|bacillothiazol G|bacillothiazol H|bacillothiazol I|bacillothiazol J|bacillothiazol K|bacillothiazol L|bacillothiazol M|bacillothiazol N,CP000560.2
BGC0002642,clipibycyclene,CP003219.1
BGC0002643,aetokthonotoxin,MT225528.1
BGC0002644,domoic acid|isodomoic acid A|isodomoic acid B|isodomoic acid C|7'-carboxy-L-NGG|prekainic acid|kainic acid,OK169902.1
BGC0002645,fluopsin C,AE004091.2
BGC0002646,hancockinone A,MBFL02000005.1
BGC0002647,massinidine,CP012201.1
BGC0002648,eicosapentaenoic acid,JALBYT010000001.1
BGC0002649,nocamycin V,CP092497.1
BGC0002650,aurodox,JAAVVL010000001.1
BGC0002651,sordaricin B,DF977497.1
BGC0002652,cytosaminomycin F|cytosaminomycin G|streptcytosine P|plicacetin|40551-F|12F-plicacetin|streptcytosine D|streptcytosine E,QXMM01000010.1
BGC0002653,macolacin,CP018620.1
BGC0002654,lapcin,MZ165589.1
BGC0002655,halovir I|halovir J|halovir K,PXOD01000028.1
BGC0002656,oryzanaphthopyran A|oryzanaphthopyran B|oryzanaphthopyran C|oryzanthrone A|oryzanthrone B|chlororyzanthrone A|chlororyzanthrone B,NZ_JQMQ01000004.1
BGC0002657,deoxyhangtaimycin,CP023690.1
BGC0002658,M-deoxyakanthomycin|P-deoxyakanthomycin,BCHE01000001.1
BGC0002659,TvgA-RiPP,KE332391.1
BGC0002660,pentacitidin A|pentacitidin B,FUWZ01000001.1
BGC0002661,tasikamide A|tasikamide B|tasikamide C,MZ964597.1
BGC0002662,petrichorin A|petrichorin B,QQAU01000001.1
BGC0002663,amyloliquecidin GF610,CP006058.1
BGC0002664,xylaroamide A,JADKYC010000066.1
BGC0002665,3-thiaglutamate,CP047260.1
BGC0002666,legonindolizidine A6,KM514925.1
BGC0002667,estericin A,JAIFTG010000008.1
BGC0002668,cesin A,JAIFTG010000035.1
BGC0002669,TVA-YJ-2,NZ_JOGB01000003.1
BGC0002670,fosfonochlorin,CM000596.1
BGC0002671,kendomycin B,MZ222135.1
BGC0002672,saccharothrixin D|saccharothrixin E|saccharothrixin F|saccharothrixin G|saccharothrixin H|saccharothrixin I|saccharothrixin J|saccharothrixin K|saccharothrixin L|saccharothrixin M,MW386996.1
BGC0002673,iminimycin A|iminimycin B,AP009493.1
BGC0002674,enterocin F4-9,LC029806.1
BGC0002675,di-pyrrolyl-dipyrromethene prodigiosin,CP045429.1
BGC0002676,skyllamycin D|skyllamycin E,CP080029.1
BGC0002677,nostoclide N1|nostoclide N2,CP001037.1
BGC0002678,pyochelin,CP012982.1
BGC0002679,chromobactin,AE016825.1
BGC0002680,viobactin,AE016825.1
BGC0002681,rhizobactin,AJ749949.2
BGC0002682,aerobactin,AB110784.1
BGC0002683,schizokinen,BA000019.2
BGC0002684,attinimicin,JAHLEL010000047.1
BGC0002685,enterobactin,ACVO01000001.1
BGC0002686,madurastatin D1|madurastatin D2|(-)-Madurastatin C1,NZ_CP041244.1
BGC0002687,massiliachelin,CP012201.1
BGC0002688,benarthin|dibenarthin,NZ_JPMW01000001.1
BGC0002689,"2,3-dihydroxybenzoylserine",AM743169.1
BGC0002690,FW0622,RQIV01000011.1
BGC0002691,amphibactin B|amphibactin C|amphibactin D|amphibactin E|amphibactin H|amphibactin S|amphibactin T|amphibactin V,JXXU01000001.1
BGC0002692,speibonoxamine|desoxy-desferrioxamine D1|desferrioxamine D1|desferrioxamine B|didesoxy-desferrioxamine D1|desoxy-desferrioxamine B|didesoxy-desferrioxamine B,SJJY01000002.1
BGC0002693,pyoverdine SMX-1,CP038001.1
BGC0002694,roseobactin,CP002974.1
BGC0002695,bacillibactin|bacillibactin E|bacillibactin F,JABJUQ010000007.1
BGC0002696,heterobactin B|heterobactin S2,LQWU01000088.1
BGC0002697,clipibicyclene|azabicyclene B|azabicyclene C|azabicyclene D,CP003219.1
BGC0002698,phaeornamide,NZ_KI421507.1
BGC0002699,nostolysamide A|nostolysamide B,CP001038.1
BGC0002700,bacinapeptin,LSBA01000008.1
BGC0002701,paenithipeptin,NZ_NDGK01000036.1
BGC0002702,GP6738,CP029618.1
BGC0002703,archalan α,NZ_ML974127.1
BGC0002704,archalan β,NZ_SBIS02000011.1
BGC0002705,archalan γ,ML974127.1
BGC0002706,saframycin Mx1,U24657.1
BGC0002707,(+)-δ-cadinol,JH711575.1
BGC0002708,(+)-δ-cadinol,JH711575.1
BGC0002709,aurofusarin,CM000574.1
BGC0002710,metachelin C|metachelin A|metachelin A-CE|metachelin B|dimerumic acid 11-mannoside|dimerumic acid,ADNJ02000002.1
BGC0002711,nostovalerolactone|9-dehydronostovalerolactone,CP001037.1
BGC0002712,WS-5995 D|WS-5995 B|WS-5995 C|SEK 43,FNVU01000018.1
BGC0002713,mevalagmapeptide A|mevalagmapeptide B|mevalagmapeptide C|mevalagmapeptide D,CP024901.1
BGC0002714,luminmycin A|glidobactin A|cepafungin,CP024901.1
BGC0002715,HTTPCA|prepiscibactin|piscibactin,CP024901.1
BGC0002716,gamexpeptide A|gamexpeptide B|gamexpeptide E|luminmide B|luminmide D|luminmide E|luminmide F|luminmide G,CP024901.1
BGC0002717,guanitoxin,CP080598.1
BGC0002718,madurastatin A2|madurastatin E1|madurastatin F|madurastatin G1|madurastatin A1,JABMCA010000006.1
BGC0002719,thanafactin A,JAAOIQ010000001.1
BGC0002720,sorbicillin|sorbicillinol,CP016236.1
BGC0002721,α-hydroxynitrile glucoside|β-hydroxynitrile glucoside|γ-hydroxynitrile glucoside,GPC_000011789.1
BGC0002722,α-chaconine|α-solanine,GPS_003181711.1
BGC0002723,casbene,GPS_020388126.1
BGC0002724,casbene,GPS_020388193.1
BGC0002725,prunipeptin,NZ_BARF01000025.1
BGC0002726,4-chloropinselin|pinselin|chloromonilinic acid B|chloromonilinic acid D|4-hydroxyvertixanthone,MK523385.1
BGC0002727,ilicicolin H|ilicicolin J,RQWH01000002.1
BGC0002728,aculene A|aculene B|aculene C|aculene D,NW_017962983.1
BGC0002729,sordarial,CM002236.1
BGC0002730,spirotryprostatin G|cyclotryprostatin B|cyclotryprostatin F|cyclotryprostatin G|spirocyclic diketopiperazine alkaloid,SSWP01000056.1
BGC0002731,nanangenine A|nanangenine B|nanangenine C,MN200101.1
BGC0002732,WS 79089B|benaphthamycin|WS 79089D|WS 79089A|WS 79089C,CP001814.1
BGC0002733,sinapigladioside,WITE01000002.1
BGC0002734,"2,4-dihydroxy-5,6-dimethyl benzaldehyde",CH476598.1
BGC0002735,incarnatapeptin A|incarnatapeptin B|dentigerumycin F|dentigerumycin G,CP011498.1
BGC0002736,preaspterpenacid I,CH476597.1
BGC0002745,verrucosidin,MDYM01000002.1
BGC0002746,dendrothelin A,ML179655.1
BGC0002747,lentinulin A,JABWDW010000010.1
BGC0002749,aspcandine,KZ559173.1
BGC0002825,nocapeptin A,NZ_KV411304.1
BGC0002077,desoxydysinosin C|desoxydysinosins B,MT940401.1
BGC0002750,Tryptorubin A|Tryptorubin B,CP021118.1
BGC0002751,Amyxirubin B,FNON01000005.1
BGC0002755,clovibactin,CP106952.1
BGC0002804,protegencin,LS999205.1
BGC0002752,prosekin,LT629762.1
BGC0002768,asplenin,CP100603.2
BGC0002808,N-coronafacoyl-L-isoleucine,FN554889.1
BGC0002760,myxovalargin A,OQ092403.1
BGC0002759,brevione E|isobrevione E,LC719581.1
BGC0002813,phorbactazole A,JAFREP010000003.1
BGC0002814,21-methoxy-calyculinamide,JAFREP010000010.1
BGC0002815,acidobactamide A|acidobactamide B|acidobactamide C,JAFREP010000006.1
BGC0002765,Keanumycin A|Keanumycin B|Keanumycin C,MW331495.1
BGC0002810,hangtaimycin|deoxyhangtaimycin,OQ368672.1
BGC0002812,Colletochlorin A|Colletorin A|Colletochlorin B|Colletochlorin D|Colletorin D|Colletorin D acid|Orsellinic acid,LTAN01000004.1
BGC0002788,14-hydroxyisochainin,NZ_CP022438.1
BGC0002789,pentamycin|filipin,SMSN01000006.1
BGC0002816,terpenomycin,CP046173.1
BGC0002754,hectoramide B,CP017708.2
BGC0002757,avenalumic acid,LC710852.1
BGC0002805,Azodyrecin A|Azodyrecin B|Azodyrecin C,JARAKF010000001.1
BGC0002826,closoxazole A|clososxazole B,FQZB01000008.1
